Date,Start(ET),Visitor,VisitorPts,Home,HomePts,OT,Atten,Notes
"Sat, Nov 28, 2015",7:30p,Brooklyn Nets,88,Cleveland Cavaliers,90,,"20,562",
"Sat, Nov 28, 2015",8:30p,Denver Nuggets,81,Dallas Mavericks,92,,"20,339",
"Sat, Nov 28, 2015",10:30p,Sacramento Kings,101,Golden State Warriors,120,,"19,596",
"Sat, Nov 28, 2015",10:00p,Los Angeles Lakers,96,Portland Trail Blazers,108,,"20,019",
"Sat, Nov 28, 2015",8:30p,Atlanta Hawks,88,San Antonio Spurs,108,,"18,418",
"Sat, Nov 28, 2015",9:00p,New Orleans Pelicans,87,Utah Jazz,101,,"19,911",
"Sat, Nov 28, 2015",7:00p,Toronto Raptors,84,Washington Wizards,82,,"16,841",
"Sun, Nov 29, 2015",6:00p,Detroit Pistons,83,Brooklyn Nets,87,,"12,823",
"Sun, Nov 29, 2015",2:00p,Milwaukee Bucks,82,Charlotte Hornets,87,,"14,224",
"Sun, Nov 29, 2015",3:30p,Minnesota Timberwolves,99,Los Angeles Clippers,107,,"19,060",
"Sun, Nov 29, 2015",9:30p,Indiana Pacers,107,Los Angeles Lakers,103,,"18,997",
"Sun, Nov 29, 2015",6:00p,Philadelphia 76ers,84,Memphis Grizzlies,92,,"15,322",
"Sun, Nov 29, 2015",7:30p,Houston Rockets,116,New York Knicks,111,OT,"19,812",
"Sun, Nov 29, 2015",6:00p,Boston Celtics,91,Orlando Magic,110,,"16,209",
"Sun, Nov 29, 2015",6:00p,Phoenix Suns,107,Toronto Raptors,102,,"19,800",
"Mon, Nov 30, 2015",8:00p,Oklahoma City Thunder,100,Atlanta Hawks,106,,"17,768",
"Mon, Nov 30, 2015",8:00p,San Antonio Spurs,89,Chicago Bulls,92,,"21,909",
"Mon, Nov 30, 2015",7:30p,Houston Rockets,105,Detroit Pistons,116,,"14,818",
"Mon, Nov 30, 2015",10:30p,Portland Trail Blazers,87,Los Angeles Clippers,102,,"19,060",
"Mon, Nov 30, 2015",7:30p,Boston Celtics,105,Miami Heat,95,,"19,600",
"Mon, Nov 30, 2015",8:00p,Denver Nuggets,74,Milwaukee Bucks,92,,"10,187",
"Mon, Nov 30, 2015",10:00p,Dallas Mavericks,98,Sacramento Kings,112,,"16,937",
"Mon, Nov 30, 2015",9:00p,Golden State Warriors,106,Utah Jazz,103,,"19,911",
"Tue, Dec 1, 2015",7:30p,Phoenix Suns,91,Brooklyn Nets,94,,"12,787",
"Tue, Dec 1, 2015",7:00p,Washington Wizards,97,Cleveland Cavaliers,85,,"20,562",
"Tue, Dec 1, 2015",8:00p,Orlando Magic,96,Minnesota Timberwolves,93,,"10,694",
"Tue, Dec 1, 2015",8:00p,Memphis Grizzlies,113,New Orleans Pelicans,104,,"16,020",
"Tue, Dec 1, 2015",7:00p,Los Angeles Lakers,91,Philadelphia 76ers,103,,"20,510",
"Tue, Dec 1, 2015",10:00p,Dallas Mavericks,115,Portland Trail Blazers,112,OT,"19,393",
"Wed, Dec 2, 2015",8:00p,Toronto Raptors,96,Atlanta Hawks,86,,"12,559",
"Wed, Dec 2, 2015",8:00p,Denver Nuggets,90,Chicago Bulls,99,,"21,349",
"Wed, Dec 2, 2015",7:00p,Golden State Warriors,116,Charlotte Hornets,99,,"19,542",
"Wed, Dec 2, 2015",7:30p,Phoenix Suns,122,Detroit Pistons,127,OT,"13,985",
